Worst Superpower,Best Superpower
Not Art,Art
Short,Long
Too Small,Too Big
Little Known Fact,Well Known Fact
Talent,Skill
Old Fashioned,Avant Garde
Small,Tiny
Benefits You,Benefits Everyone
Hard to Sit On,Easy to Sit On
Not Enough,Too Much
One Hit Wonder,Pop Icon
Bad Candy,Good Candy
Bad Mouthfeel,Good Mouthfeel
Worst Chore,Best Chore
Blue,Green
Expected,Unexpected
Altruistic,Selfish
Backward,Forward
Blunt,Sharp
Closed,Open
Cowardly,Brave
Cruel,Kind
Dry,Wet
Prey,Predator
Shallow,Deep
Slow,Fast
Sour,Sweet
Least Popular Things to do When Traveling,Most Popular Things to do When Traveling
Doesn't Go Well with White Rice,Does Go Well With White Rice
Least Cool Things Done in Junior High,Most Cool Things Done in Junior High
Least Reliable,Most Reliable
Least Fun Things you can do for Ten Dollars,Most Fun Things you can do for Ten Dollars
Least Popular Sea Creatures,Most Popular Sea Creatures
Not Excited to Find in the Fridge,Excited to Find in the Fridge
Worst Time to Wake Up After Falling Asleep In Class,Best Time to Wake Up After Falling Asleep In Class
Things You Don't Want Photos Of,Things You Do Want Photos Of
Things that Make You Upset,Things that Make You Happy
Job You Don't Want,Job You Do Want
Unpopular Events,Popular Events
Things You'd Be Upset to Find in a Treasure Chest,Things You'd be Happy to Find in a Treasure Chest
Things That Wouldn't Excite a Child,Things That Would Excite a Child
Things You Don't Want to do When Tired,Things You Do Want to do When Tired
Worst Thing about Being a Baby,Best Thing about Being a Baby
Skills That Aren't Required to be a Pop Star,Skills That Are Required to be a Pop Star
Animals You Don't Want to Climb on Top of,Animals You Do Want to Climb on Top of
Least Useful Household Items,Most Useful Household Items
Facts That Would Bore a 5 Year Old,Facts That Would Surprise a 5 Year Old
Attributes the Demon Lord Wouldn't Want the Hero to Have,Attributes the Hero Would Like the Hero to Have
Weakest Historical Figure,Strongest Historical Figure
Historical Figure You Wouldn't Want to Be,Historical Figure You Would Want to Be
Not Scary,Scary
Inconvenient,Convenient
Not Popular with Kids,Popular with Kids
Unpopular Fairy Tale,Popular Fairy Tale
Things That Don't Excite You,Things That Get You Excited
Something I'd be Unhappy to Find in my Bag,Something I'd be Happy to Have in my Bag
Unimportant Things in Life,Important Things in Life
Words That Upset You,Words That You're Happy to Hear
Unpopular Sports,Popular Sports
Weak Sound Effects,Powerful Sound Effects
Lame Name,Cool Name
Useless for Fighting Zombies,Useful for Fighting Zombies
Boring Items to Gift to an Alien,Exciting Items to Gift to an Alien
Small Things in a School,Big Things in a School
Don't Need When Living Alone,Do Need When Living Alone
Light,Heavy
Unfun Things,Fun Things
Characters that Would Make Bad Parents,Characters that Would Make Good Parents
Worst Special Powers/Weapons,Best Special Powers/Weapons
Unpopular Board Games,Popular Board Games
Unpopular Appliances,Popular Appliances
Unpopular Atheletes,Popular Atheletes
Worst Convenience Store Items,Best Convenience Store Items
Worst Things to Get at the Dollar Store,Best Things to Get at the Dollar Store
Weakest Movie Characters,Strongest Movie Characters
Worst Mascot,Best Mascot
Least Popular Website,Most Popular Website
Worst Theme Park Ride,Best Theme Park Ride
Least Popular Chinese Food,Most Popular Chinese Food
Least Popular Game,Most Popular Game
Least Popular Types of Pets,Most Popular Types of Pets
Least Common Souvenirs,Most Common Souvenirs
Weakest Game Character,Strongest Game Character
Character You Wouldn't Want to Be,Character You Would Want to Be
Character You Wouldn't Want to Marry,Character You Would Want to Marry
Regular Movie Quotes,Nerdy Movie Quotes
Antiquated Words,Modern Words
Least Popular Restaurant,Most Popular Restaurant
Least Popular Creatures,Most Popular Creatures
Weakest Living Being,Strong Living Being
Smallest Living Being,Largest Living Being
Creature You Wouldn't Want to Be,Creature You Would Want to Be
Least Popular Game Character,Most Popular Game Character
Least Popular Food,Most Popular Food
Least Popular Celebrity,Most Popular Celebrity
Poorest Celebrity,Richest Celebrity
Celebrity You Wouldn't Want to Marry,Celebrity You Would Want to Marry
Celebrity You Wouldn't Want to Be,Celebrity You Would Want to Be
Unpopular Brand,Popular Brand
Unpopular Words for Kids,Popular Words for Kids
Unpopular Words for Junior High Schoolers,Popular Words for Junior High Schoolers
Bad Date Spot,Good Date Spot
Things You Don't Need to Take on a Trip,Things You Need to Take on a Trip
Worst Places for a Proposal,Best Places for a Proposal
Least Attractive Traits,Most Attractive Traits
Worst Job Your Partner Could Have,Best Job Your Partner Could Have
Least Desirable Country to Live In,Most Desirable Country to Live In
Least Popular Building,Most Popular Building
Foods You Wouldn't Want to Give Someone,Foods You Would Want to Give Someone
Abilities That Aren't Useful,Abilities That Are Useful
Least Likely to do When in a Good Mood,Most Likely to do When in a Good Mood
Qualities of a Bad Leader,Qualities of a Good Leader
Places That Would be Boring to Explore,Places That Would Be Exciting to Explore
Worst Animal Traits,Best Animal Traits
Bad Traits for a Butler to Have,Good Traits for a Butler to Have
Characteristics that make for Bad Friends,Characteristics that make for Good Friends
Everyday Occurrence,Miraculous Occurrence
Most Boring Thing to Bring Back from the Past,Most Exciting Thing to Bring Back from the Past
Things That Aren't Fun to Throw,Things That Are Fun to Throw
Shocking Habits,Normal Habits
Slow Animal,Fast Animal
Like,Love
Things That Keep You Awake,Things That Make You Sleepy
Slow Horse Names,Fast Horse Names
Immature Behavior,Mature Behavior
Things You Don't Have To Do Before You Die,Things You Do Have To Do Before You Die
Lamest Pose,Coolest Pose
Common Words,Rare Words
Boring Smartphone App,Convenient Smartphone App
Normal Words,Words That Sound like Special Moves
Everyday Occurrence,Situation That Would Make You Wonder if You're Being Punked
Least Popular Land Animals,Most Popular Land Animals
Something That Only Men or Women Like,Something That Both Men and Women Like
Words You'd be Unhappy to Hear from your Grandkids,Words You'd be Happy to Hear from your Grandkids
Things that Aren't Nostalgic,Things that Are Nostalgic
Things You Wouldn't Want to Be Wrapped Up In,Things You Would Want to Be Wrapped Up In
Things You Could Go Without When Lost in the Desert,Things You Want When Lost in the Desert
Normal Thoughts,Thoughts You Would Be Shocked to Hear if You Could Read Minds
Gifts You Want as an Adult,Gifts You Wanted When You Were a Kid
Mundane Actions In Space,Things You'd Want to do in Space
Qualities of a Bad Comedian,Qualities of a Good Comedian
Something That Doesn't Hurt to Step On,Something That Does Hurt to Step On
Food You Could Get Tired of Eating,Food You Could Eat for the Rest of Your Life
Uncomfy Place for a Cat,Comfy Place for a Cat
Crunchy Food,Soft Food
Worst Way to Spend a Day Off,Best Way to Spend a Day Off
Places You Never Go,Places You Often Go
Boring Email,Enticing Email Title
Unimportant Things in This Room,Important Things in this Room
Bad Things that Happen In Everyday Life,Good Things that Happen In Everyday Life
Unpopular Honeymoon Destinations,Popular Honeymoon Destinations
Things You Wouldn't Ask a Teacher,Things You May Ask a Teacher
Things That Upset Dogs,Things That Make Dogs Happy
Lame Magic Trick,Cool Magic Trick
Bad Alarm Clock Sound,Good Alarm Clock Sound
Least Strange Face You Can Make,Most Strange Face You Can Make
Boring School Trip Destination,Exciting School Trip Destination
